station_id,station_name,station_lat,station_lng
3140.09,Bedford Ave & Beverley Rd,40.64491,-73.95487
7865.09,Broadway & W 131 St,40.817555,-73.957163
3359.03,Linden Blvd & Nostrand Ave,40.652710915,-73.949993014
4345.11,Fulton St & Waverly Ave,40.683240294,-73.966212988
8491.07,Audubon Ave & Fort George Ave,40.85715781391904,-73.92717361450195
6492.04,W 33 St & 10 Ave,40.753773368360385,-73.99937599897385
5175.08,Fulton St & Broadway,40.711034298,-74.009545088
5033.01,Broadway & Morris St,40.706191063,-74.012979507
3486.02,Clarkson Ave & Utica Ave,40.65666604,-73.931143522
7783.18,Broadway & W 122 St,40.812202334,-73.961183429
3982.01,Eastern Pkwy\t& St Marks Ave,40.67323029,-73.910822392
6638.01,34 Ave & 38 St,40.756927371,-73.921432495
5259.06,Devoe St & Lorimer St,40.713438392,-73.949118733
5572.07,Van Dam St & Meeker Ave,40.72532,-73.9368
6432.11,E 40 St & Park Ave,40.751324892,-73.97706759
6518.08,34 Ave & 83 St,40.753782153,-73.884409785
8649.03,Bainbridge Ave & E 198 St,40.8684871,-73.8884559781
8262.07,W 171 St & St Nicholas Ave,40.843027949,-73.938815236
4154.02,Pacific St & Utica Ave,40.6767,-73.93051
7948.10,Intervale Ave & Westchester Ave,40.821996927,-73.896728516
7658.13,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308
4437.09,Nevins St & Schermerhorn St,40.687518477,-73.981845975
5190.07,Madison St & Clinton St,40.712614775,-73.987729907
8130.02,E 165 St & Jerome Ave,40.83254993,-73.924984455
4856.05,Irving Ave & Harman St,40.701241374,-73.917996168
4904.03,Cypress Hills St & Otto Rd,40.70204,-73.89288
5914.08,Greenwich Ave & Charles St,40.734960556,-74.000261664
8451.07,E 182 St & Park Ave,40.854648471,-73.895056248
6662.09,51 St & Hobart St,40.757856607,-73.907620192
7386.10,2 Ave & E 99 St,40.786554933,-73.945725322
3803.05,6 Ave & 12 St,40.666289568,-73.985342026
8325.08,Southern Blvd & E 180 St,40.846167922,-73.884300351
5343.11,Orchard St & Grand St,40.717541218,-73.990415692
7504.19,3 Ave & E 109 St,40.793262005,-73.943242431
6729.02,21 St & 36 Ave,40.7601853,-73.9362726
3253.01,52 St & 1 Ave,40.649292,-74.020105
8085.09,St Nicholas Ave & W 157 St,40.832335711,-73.940848112
8795.01,Jerome Ave & E Mosholu Pkwy S,40.879482865,-73.885160327
4994.10,Onderdonk Ave & Gates Ave,40.70413,-73.90737
7271.01,Shore Blvd & Astoria Park,40.77977,-73.923162
5097.02,60 Pl & Linden St,40.70886,-73.90182
3117.05,46 St & 7 Ave,40.64490068,-74.003687978
8635.08,Grand Concourse & E 196 St,40.867662668,-73.893057108
6509.07,92 St & 35 Ave,40.752901316,-73.875420094
3113.06,Rugby Rd & Beverley Rd,40.64435,-73.96591
3388.03,40 St & 3 Ave,40.6535,-74.00902
4765.07,Cypress Ave & George St,40.69812,-73.90271
3853.02,Eastern Pkwy & Rochester Ave,40.668488383,-73.928056359
3871.02,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514
8141.05,College Ave & E 169 St,40.835113168,-73.911885858
8175.06,College Ave & E 170 St,40.837607741,-73.910448432
5920.03,94 St & 57 Ave,40.736322522,-73.867770076
6748.04,82 St & 30 Ave,40.761313915,-73.886354685
5082.08,Jefferson St & Cypress Ave,40.70907,-73.92157
7793.02,E 149 St & Eagle Ave,40.814109564,-73.911988378
8029.28,Macombs Pl & W 152 St,40.826406,-73.937948
6025.08,39 St & 50 Ave,40.738008618,-73.927302837
3699.07,17 St & 5 Ave,40.663430333,-73.990897298
8137.06,3 Ave & E 170 St,40.834956765,-73.903681517
6921.04,23 Ave & 83 St,40.766447186,-73.886874318
7511.19,5 Ave & E 103 St,40.792246461,-73.952758312
8897.05,W 238 St & Tibbett Ave,40.885884523,-73.902538896
6529.02,37 Ave & 35 St,40.753209949,-73.927666783
3596.04,4 Ave & 26 St,40.660192251,-73.998458505
6642.08,34 Ave & 113 St,40.756955028,-73.856192827
8496.01,Fort Washington Ave & W 190 St,40.857025027,-73.935697317
3166.03,Albemarle Rd & McDonald Ave,40.64528966,-73.979562521
5270.09,Market St & Henry St,40.71310702305908,-73.99446353316307
6389.09,E 39 St & Lexington Ave,40.749350548,-73.97724998
5788.13,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
7680.03,Cathedral Pkwy & Broadway,40.804213,-73.96699104
7338.02,2 Ave & E 96 St,40.7839636,-73.9471673
4208.01,Sterling Pl & 5 Ave,40.678970070475735,-73.97855266928671
7867.04,Southern Blvd & Tiffany St,40.818185,-73.894143
5106.04,Greene Ave & Grandview Ave,40.709697,-73.907856
4640.01,Bushwick Ave & Harman St,40.69356,-73.92524
6596.10,34 Ave & 45 St,40.754795,-73.917014
7927.08,E 163 St & Tiffany St,40.821075,-73.895069
8862.02,Bailey Ave & W 238 St,40.88417,-73.89793
8369.08,Hughes Ave & Oak Tree Pl,40.85079,-73.88945
5854.10,Stuyvesant Walk & 1 Ave Loop,40.732339777151054,-73.97898383438587
8667.01,Grand Concourse & E 197 St,40.86945,-73.89148
4781.05,Nassau St & Duffield St,40.698477,-73.98384
5602.06,Greene St & Prince St,40.72511734422387,-73.99930492043495
4266.03,Clinton St & Union St,40.683104515,-73.997647762
5288.08,Park Pl & Church St,40.713051081,-74.009790897
3925.03,Sterling Pl & Rochester Ave,40.67128,-73.92825
4383.06,Hancock St & Stuyvesant Ave,40.684584618,-73.932213306
6587.04,Broadway & 49 St,40.77018641666667,-73.87575125
6753.08,1 Ave & E 62 St,40.7612274,-73.96094022
7524.16,Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063
5453.06,Kenmare St & Elizabeth St,40.72054,-73.9949
4028.04,4 Ave & 3 St,40.673746,-73.985649
4798.10,Stephen St & Seneca Ave,40.6988,-73.9007
4663.06,Putnam Ave & Knickerbocker Ave,40.69545,-73.91164
6128.04,49 Ave & 21 St,40.74252,-73.948852
4534.06,Lexington Ave & Patchen Ave,40.6904,-73.9277
7823.03,Broadway & Moylan Pl,40.814216614,-73.959160566
3161.02,46 St & 6 Ave,40.645835519,-74.005589128
3000.08,6 Ave & 55 St,40.640636325,-74.011235833
3129.08,53 St & 5 Ave,40.643371,-74.011884
5401.03,59 St & 59 Rd,40.71790852734058,-73.908454477787
3090.06,Church Ave & McDonald Ave,40.642934918,-73.979055762
3987.06,5 Ave & 3 St,40.672843695,-73.983576894
5570.04,Grand Ave & Remsen Pl,40.72353,-73.89967
8212.01,Boston Rd & West Farms Rd,40.83998,-73.8806
3779.02,3 Ave & 17 St,40.666088939,-73.995667934
6526.05,8 Ave & W 38 St,40.75461,-73.99177
8272.08,E 176 St & Clinton Ave,40.843103886,-73.891549587
6212.08,Vernon Blvd & 47 Rd,40.7449067,-73.9534573
6179.07,Center Blvd & 51 Ave,40.743366080270214,-73.95960688591003
8281.06,Clay Ave & E 173 St,40.843264,-73.904867
7571.01,Sunken Meadow Comfort Station,40.79558,-73.91906
3327.01,Lott St & Erasmus St,40.64949,-73.95408
5764.02,65 Pl & 53 Ave,40.73145,-73.90022
5956.04,64 St & 51 Ave,40.73577,-73.90184
7543.15,3 Ave & E 112 St,40.795660495999996,-73.941444039
4853.06,Bridge St & York St,40.70122385,-73.984729052
4348.07,Carroll St & Columbia St,40.683042169,-74.003484964
3199.01,Caton Ave & E 7 St,40.647726536,-73.973663807
5422.04,Howard St & Lafayette St,40.71910537,-73.99973337
5515.02,E 2 St & Ave B,40.72217444,-73.98368779
8550.01,Jerome Ave & W 184 St,40.860814,-73.902541
5626.15,1 Ave & E 6 St,40.72633085971696,-73.98616880178452
6786.02,W 47 St & 9 Ave,40.761598349,-73.989975572
6541.03,E 48 St & 3 Ave,40.754855871,-73.971893907
6759.15,Crescent St & 34 Ave,40.76111412,-73.930609822
6307.07,61 St & 39 Ave,40.747084618,-73.902832747
4181.10,Brevoort Pl & Bedford Ave,40.68012,-73.95362
5351.07,Walker St & Baxter St,40.717411,-73.999573
4651.02,Clinton Ave & Myrtle Ave,40.693261,-73.968896
7023.09,Amsterdam Ave & W 60 St,40.771148122190155,-73.98699113854883
5216.04,Barclay St & Church St,40.71291224,-74.01020234
7662.13,Lexington Ave & E 127 St,40.805726,-73.936322
8550.04,Morris Ave & E 184 St,40.86008,-73.90079
5024.10,Water St & Fletcher St,40.706410755236135,-74.00559738278389
3885.06,Buffalo Ave & St John's Pl,40.67015,-73.92538
3660.07,7 Ave & 17 St,40.660937794931684,-73.98680448532104
5125.03,S 5 Pl & S 5 St,40.710451,-73.960876
8205.05,3 Ave & E 172 St,40.839586,-73.900277
6323.11,Ithaca St & Baxter Ave,40.74638,-73.88322
6951.03,28 Ave & 35 St,40.7671,-73.9169858
4325.03,Thomas S. Boyland St & Macon St,40.68491,-73.91493
6840.02,98 St & 25 Ave,40.76454,-73.87171
5045.05,Division Ave & Hooper St,40.70684203101325,-73.9544353965357
6709.01,31 Ave & 84 St,40.75947,-73.88431
6099.02,76 St & 45 Ave,40.7411,-73.88837
4087.01,Van Sinderen Ave & Atlantic Ave,40.67621,-73.90351
3373.01,E 51 St & Linden Blvd,40.65399,-73.92967
5922.08,Bank St & Hudson St,40.73652889,-74.00618026
7186.15,19 St & 24 Ave,40.7774552,-73.9225403
4334.02,Halsey St & Ralph Ave,40.68494,-73.92299
5128.04,Catherine St & Monroe St,40.71117444,-73.99682619
7631.23,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
7344.01,E 94 St & Madison Ave,40.785851052913884,-73.95482444378061
5034.03,Menahan St & Onderdonk Ave,40.70553,-73.9096
6682.08,E 60 St & York Ave,40.759107,-73.959223
4553.04,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
6203.02,Jackson Ave & 46 Rd,40.74524768,-73.94733276
8435.04,Valentine Ave & E 181 St,40.854123869116,-73.89932222664356
3272.01,E 8 St & Caton Ave,40.648055,-73.972432
6692.03,104 St & 32 Ave,40.75951,-73.86491
3593.01,Maple St & Flatbush Ave,40.66026,-73.96045
3877.04,Pitkin Ave & Grafton St,40.66852,-73.91908
4179.03,Fulton St & Saratoga Ave,40.67853,-73.91642
5887.03,Queens Blvd & 56 Ave,40.73481,-73.87431
3651.04,West Drive & Prospect Park West,40.661147833,-73.979314923
6191.06,61 St & Woodside Ave,40.745250821,-73.90358901
4086.06,Henry St & W 9 St,40.676448107,-74.003186226
5539.06,Laight St & Hudson St,40.721764565,-74.006973743
4228.06,Chauncey St & Malcolm X Blvd,40.680445075,-73.928396225
6593.15,6 Ave & W 45 St,40.757691145,-73.983837485
3680.04,E New York Ave & Troy Ave,40.66227,-73.93762
7540.02,E 114 St & 1 Ave,40.794525385,-73.936125517
7126.01,21 St & Hoyt Ave S,40.774645,-73.923706
7925.04,W 133 St & 12 Ave,40.820426226,-73.959166288
4590.01,Soissons Landing,40.69231660719192,-74.01486575603485
7622.12,2 Ave & E 122 St,40.8006721,-73.9349
4920.13,South St & Broad St,40.70188858913366,-74.01089876890182
5392.04,63 St & 59 Dr,40.71852529,-73.901378036
8741.01,Bailey Ave & W 229 St,40.87449,-73.90467
3893.03,Eastern Pkwy & Schenectady Ave,40.668816209,-73.933618546
8575.02,Cedar Ave & W Fordham Rd,40.86156,-73.91219
3300.06,Snyder Ave & Schenectady Ave,40.649981141,-73.932869315
8597.01,Decatur Ave & E 197 St,40.865875959,-73.887801647
4319.07,Halsey St & Tompkins Ave,40.682401061,-73.943944454
7712.04,Alexander Ave & E 134 St,40.80721581,-73.926973462
6207.06,Judge St & Britton Ave,40.744647264,-73.881072998
4095.10,Van Brunt St & Van Dyke St,40.675903797,-74.014651775
8555.05,Loring Pl North & W 183 St,40.86042273,-73.909338474
8467.03,E 184 St & 3 Ave,40.854705811,-73.890201688
6426.05,57 St & 37 Ave,40.75048,-73.90513
5280.03,Fresh Pond Rd & Eliot Ave,40.714471698,-73.900937438
4936.21,Main St & Plymouth St,40.703781673548306,-73.99073392152786
4617.01,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
4789.03,Clark St & Henry St,40.69760127,-73.99344559
5210.01,Powers St & Olive St,40.713145614,-73.938971639
8465.01,Sedgwick Ave & W Burnside Ave,40.854947448,-73.91677618
4013.08,Columbia St & Lorraine St,40.674890161,-74.007497549
6927.03,Ditmars Blvd & 76 St,40.768442,-73.893531
6869.06,Butler St & 27 Ave,40.76521,-73.86483
6795.01,W 46 St & 11 Ave,40.76341379,-73.99667444
6215.04,W 25 St & 6 Ave,40.74395411,-73.99144871
4440.02,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666
8021.11,Grand Concourse & E 161 St,40.82713380423556,-73.9227358996868
4719.04,St Felix Ave & 61 St,40.69715,-73.8936
4695.04,Irving Ave & Halsey St,40.69467,-73.90663
5869.04,Huron St & Franklin St,40.73266,-73.95826
7816.14,Brook Ave & E 148 St,40.814383,-73.915368
6190.03,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472
4632.10,Central Ave & Woodbine St,40.69296,-73.91605
8711.02,W 225 St & Exterior St,40.873265,-73.906646
6735.03,50 St & 30 Ave,40.760083,-73.907107
7178.02,23 Ave & 27 St,40.776165,-73.9153175
8307.05,Macombs Rd & Featherbed Ln,40.84552,-73.91722
6191.04,62 St & 43 Ave,40.74261,-73.903
4125.07,7 Ave & Park Pl,40.677465796,-73.973345757
5159.04,Pike St & Monroe St,40.71173107,-73.99193043
7212.05,E 85 St & 3 Ave,40.777963519,-73.954305053
5752.09,Greenpoint Ave & West St,40.729852915,-73.958885074
7842.16,Amsterdam Ave & W 131 St,40.816304922,-73.954358578
7382.04,W 84 St & Columbus Ave,40.785121202,-73.972766161
6498.10,E 47 St & 2 Ave,40.753257394,-73.970404267
6691.11,E 56 St & 3 Ave,40.759035587,-73.967527747
7132.08,27 Ave & 3 St,40.77485,-73.9342
7974.01,3 Ave & E 163 St,40.823740363,-73.908719182
8226.06,Broadway & W 168 St,40.84089603193041,-73.93972098827362
8639.01,W 192 St & University Ave,40.866896152,-73.901941657
4278.03,Marcus Garvey Blvd & Macon St,40.682664275,-73.938012838
3208.07,Dahill Rd & 12 Ave,40.64591527,-73.980992556
6524.09,37 Ave & 113 St,40.75475,-73.8549
2733.03,67 St & Erik Pl,40.633385,-74.016562
3205.06,Brooklyn Ave & Tilden Ave,40.64725,-73.94352
4408.07,Macon St & Howard Ave,40.68452,-73.92011
4243.01,Commerce St & Van Brunt St,40.681179404,-74.008712292
3423.10,Clarkson Ave & E 40 St,40.65592,-73.94068
6885.01,24 Ave & 87 St,40.765407443,-73.882740855
8353.02,Amsterdam Ave & W 180 St,40.847419143,-73.931144834
5593.01,E 1 St & 1 Ave,40.72335597960796,-73.98864984512329
4057.04,Brooklyn Ave & Prospect Pl,40.674222708,-73.944503069
4522.07,State St & Smith St,40.68919611,-73.988269448
8802.05,W 233 St & Albany Crescent,40.879891753,-73.901779532
6460.06,62 St & 34 Ave,40.75201,-73.89986
8715.06,W 218 St & Broadway,40.871406674,-73.914635897
6039.06,Washington St & Gansevoort St,40.739323,-74.008119
8541.04,E 191 St & Bathgate Ave,40.859894991,-73.886315823
5300.05,Metropolitan Ave & Meeker Ave,40.714125037,-73.952246547
6579.03,58 St & 32 Ave,40.755609274,-73.90339005
4217.06,Degraw St & 3 Ave,40.67977,-73.9847
8096.03,Anderson Ave & W 164 St,40.832002997000004,-73.927396297
6787.02,30 Ave & 80 St,40.76109,-73.88838
6047.03,51 Ave & Van Loon St,40.738379002,-73.879013419
4768.02,Park Ave & Marcus Garvey Blvd,40.6985991,-73.941434383
6970.02,Ditmars Blvd & 102 St,40.768788218,-73.868106246
8831.03,Bailey Ave & W 234 St,40.88066,-73.90076
4203.04,Somers St & Broadway,40.67945,-73.90474
6581.14,24 St & 38 Ave,40.756351,-73.936515
4366.01,Halsey St & Broadway,40.685829163,-73.915616155
4757.06,Seneca Ave & Decatur St,40.69723,-73.89811
